香港频道,#genre# 
Tnt Sports 1,http://127.0.0.1:8081/Smart.php?id=6fac0aaead
TNT Sports 2,http://127.0.0.1:8081/Smart.php?id=d9a76a79cc
TNT Sports 3,http://127.0.0.1:8081/Smart.php?id=5fea4d73db
TNT Sports 4,http://127.0.0.1:8081/Smart.php?id=tntsport4
Sony Ten 1,http://127.0.0.1:8081/Smart.php?id=ten1_raj
Sony Ten 2,http://127.0.0.1:8081/Smart.php?id=ten2_raj
Sony Ten 3,http://127.0.0.1:8081/Smart.php?id=ten3_raj
SPOTV 1 HD,http://127.0.0.1:8081/Smart.php?id=go_spotv
SPO TV 2,http://127.0.0.1:8081/Smart.php?id=go_spotv2
Skysports F1,http://127.0.0.1:8081/Smart.php?id=tiankongf1
Skysports Cricket,http://127.0.0.1:8081/Smart.php?id=tiankongcricket
Skysports EPL,http://127.0.0.1:8081/Smart.php?id=tiankongepl
Skysports Main Event,http://127.0.0.1:8081/Smart.php?id=tiankongmain
Skysports News,http://127.0.0.1:8081/Smart.php?id=tiankongnews
Skysports Mix,http://127.0.0.1:8081/Smart.php?id=tiankongmix
爱尔达体育2台,http://127.0.0.1:8081/Smart.php?id=eltasport2_twn
爱尔达体育3台,http://127.0.0.1:8081/Smart.php?id=eltasport3_twn
Rugby Pass TV,http://127.0.0.1:8081/Smart.php?id=Rugbypasstv
RTM Sports HD,http://127.0.0.1:8081/Smart.php?id=Rtmsport
Arena,http://127.0.0.1:8081/Smart.php?id=Arena
Arena 2,http://127.0.0.1:8081/Smart.php?id=Arena2
BolaArena 1,http://127.0.0.1:8081/Smart.php?id=Bolaarena1
BolaArena 2,http://127.0.0.1:8081/Smart.php?id=Bolaarena2
Astro Beinsports 1,http://127.0.0.1:8081/Smart.php?id=Astrobein1
Astro Beinsports 2,http://127.0.0.1:8081/Smart.php?id=Astrobein2
Astro Beinsports 3,http://127.0.0.1:8081/Smart.php?id=Astrobein3

台湾频道,#genre# 
TVBS News 新闻台,http://127.0.0.1:8081/Smart.php?id=tvbs_n
TVBS 欢乐台 （备份）,http://127.0.0.1:8081/Smart.php?id=tvbshuanle_twn
TVBS HD,http://127.0.0.1:8081/Smart.php?id=tvbs
中天新闻 HD,http://127.0.0.1:8081/Smart.php?id=ctinews
中天娱乐 CTI Entertaiment,http://127.0.0.1:8081/Smart.php?id=ctient
中天综合 CTI Metro,http://127.0.0.1:8081/Smart.php?id=ctizhonghe
中天亚洲台,http://127.0.0.1:8081/Smart.php?id=ctiasia_twn
台视 TTV HD,http://127.0.0.1:8081/Smart.php?id=ttv_taiwan
台视新闻台,http://127.0.0.1:8081/Smart.php?id=ttvnews_twn
台视综合台,http://127.0.0.1:8081/Smart.php?id=ttvzhonghe
中视 HD,http://127.0.0.1:8081/Smart.php?id=zhongshihd_twn
中视新闻台,http://127.0.0.1:8081/Smart.php?id=zhongshinews_twn
民视 HD,http://127.0.0.1:8081/Smart.php?id=ftvhd_taiwan
民视新闻台 FTV News,http://127.0.0.1:8081/Smart.php?id=ftvnew_taiwan
民视台湾台,http://127.0.0.1:8081/Smart.php?id=ftvtaiwan_twn
华视 CTS HD,http://127.0.0.1:8081/Smart.php?id=ctshd_twn
公视 CTV,http://127.0.0.1:8081/Smart.php?id=ctv18_twn
八大第一 GTV First,http://127.0.0.1:8081/Smart.php?id=badafirst
八大综合 GTV Metro,http://127.0.0.1:8081/Smart.php?id=badazhonghe
八大戏剧 GTV Drama,http://127.0.0.1:8081/Smart.php?id=badadrama
八大娱乐 GTV Entertainment,http://127.0.0.1:8081/Smart.php?id=badaentertain
HBO_HD,http://127.0.0.1:8081/Smart.php?id=hbohd_twn
HBO_HITS,http://127.0.0.1:8081/Smart.php?id=hbohit_twn
Hollywood Movies,http://127.0.0.1:8081/Smart.php?id=hollywoodmovies_twn
三立台湾 Sanli Taiwan,http://127.0.0.1:8081/Smart.php?id=sanlitaiwan
三立戏剧台,http://127.0.0.1:8081/Smart.php?id=sanlixiju_twn
三立综合 Sanli Metro,http://127.0.0.1:8081/Smart.php?id=sanlizhonghe
三立都会台,http://127.0.0.1:8081/Smart.php?id=sanlidouhui
东森新闻 ETTV News,http://127.0.0.1:8081/Smart.php?id=ettvnews
CINEMAX,http://127.0.0.1:8081/Smart.php?id=cinemax_twn
东森综合 ETTV Metro,http://127.0.0.1:8081/Smart.php?id=ettvzhonghe
东森戏剧 ETTV Drama,http://127.0.0.1:8081/Smart.php?id=ettvdrama
东森超视,http://127.0.0.1:8081/Smart.php?id=ettvsuper
东森财经新闻 ETTV Business,http://127.0.0.1:8081/Smart.php?id=ettvcaijing_twn
寰宇财经,http://127.0.0.1:8081/Smart.php?id=huanyutaiwan_twn
寰宇新闻台,http://127.0.0.1:8081/Smart.php?id=huanyuxinwen_twn
公视2,http://127.0.0.1:8081/Smart.php?id=ctv2_twn
大爱1台,http://127.0.0.1:8081/Smart.php?id=daai_twn
非凡新闻台,http://127.0.0.1:8081/Smart.php?id=feifannews_twn
龙华戏剧 Lunghua Drama,http://127.0.0.1:8081/Smart.php?id=lunghuaxiju_twn
龙华经典台,http://127.0.0.1:8081/Smart.php?id=lunghuajingdian_twn
龙华偶像,http://127.0.0.1:8081/Smart.php?id=lunghuaidol_twn
AXN Taiwan,http://127.0.0.1:8081/Smart.php?id=axn_twn
靖天国际台,http://127.0.0.1:8081/Smart.php?id=jingtianintl_twn
年代新闻,http://127.0.0.1:8081/Smart.php?id=niandainews_twn
纬来日本台,http://127.0.0.1:8081/Smart.php?id=videolandjapan
纬来电影台,http://127.0.0.1:8081/Smart.php?id=videolandmovie
纬来体育台,http://127.0.0.1:8081/Smart.php?id=videolandsport
纬来综合台,http://127.0.0.1:8081/Smart.php?id=videolandzonghe
纬来育乐,http://127.0.0.1:8081/Smart.php?id=videolandyule
纬来精彩,http://127.0.0.1:8081/Smart.php?id=videolandspecial_twn
好消息 2,http://127.0.0.1:8081/Smart.php?id=good2_twn
大爱2台,http://127.0.0.1:8081/Smart.php?id=daai2_twn
亚洲美食,http://127.0.0.1:8081/Smart.php?id=afc_twn
美食星球,http://127.0.0.1:8081/Smart.php?id=foodplanet_twn
亚洲旅游 TLC Asia,http://127.0.0.1:8081/Smart.php?id=tlc_twn
东森电影 ETTV Movie,http://127.0.0.1:8081/Smart.php?id=ettvmovie
阿里郎 Arirang,http://127.0.0.1:8081/Smart.php?id=arirang_twn
博斯运动 1,http://127.0.0.1:8081/Smart.php?id=bosisport1_twn
博斯运动 2,http://127.0.0.1:8081/Smart.php?id=bosisport2_twn
博斯高球2 HD,http://127.0.0.1:8081/Smart.php?id=bosigolf2_twn
博斯网球 HD,http://127.0.0.1:8081/Smart.php?id=bositennis_twn
东森洋片 ETTV Western,http://127.0.0.1:8081/Smart.php?id=ettvwestern
龙华洋片 Lunghua Western,http://127.0.0.1:8081/Smart.php?id=lunghuawestern_twn
博斯无限,http://127.0.0.1:8081/Smart.php?id=bosiunlimited_twn
MTV Live,http://127.0.0.1:8081/Smart.php?id=mtvhd_twn
龙详时代,http://127.0.0.1:8081/Smart.php?id=lungxiangtime_twn
EYETV 旅游,http://127.0.0.1:8081/Smart.php?id=eyetvtravel_twn
靖天卡通台,http://127.0.0.1:8081/Smart.php?id=jingtiancartoon_twn
EYETV 戏剧,http://127.0.0.1:8081/Smart.php?id=eyetvxiju_twn
卫视中文台 Star Movies Chinese,http://127.0.0.1:8081/Smart.php?id=weishichinese_twn
东森幼幼 Yoyo TV,http://127.0.0.1:8081/Smart.php?id=yoyo_twn
卫视电影台,http://127.0.0.1:8081/Smart.php?id=weishimovie_twn
美亚电影,http://127.0.0.1:8081/Smart.php?id=meiyamovie_twn
爱尔达影剧台,http://127.0.0.1:8081/Smart.php?id=eltayingju_twn
爱尔达综合台,http://127.0.0.1:8081/Smart.php?id=eltazonghe_twn
星卫电影,http://127.0.0.1:8081/Smart.php?id=xingwei_movie
AFC 亚洲旅游台,http://127.0.0.1:8081/Smart.php?id=asiatravel_twn

电影频道,#genre# 
Cinemax,http://127.0.0.1:8081/Smart.php?id=Cinemax
Animax,http://127.0.0.1:8081/Smart.php?id=Animax
Movies Now HD,http://127.0.0.1:8081/Smart.php?id=moviesnow_raj
Star Movies HD,http://127.0.0.1:8081/Smart.php?id=starmovies_raj
HBO Family,http://127.0.0.1:8081/Smart.php?id=Hbofamily
Hits,http://127.0.0.1:8081/Smart.php?id=Hits
Warner TV,http://127.0.0.1:8081/Smart.php?id=WarnerTV
HBO HD,http://127.0.0.1:8081/Smart.php?id=Hbo
HBO Signature,http://127.0.0.1:8081/Smart.php?id=Hbosignature
HBO Hits,http://127.0.0.1:8081/Smart.php?id=Hbohitshd
SCM,http://127.0.0.1:8081/Smart.php?id=Weishimovie
Dreamworks,http://127.0.0.1:8081/Smart.php?id=Dreamworks
Thrill,http://127.0.0.1:8081/Smart.php?id=Thrill
Hits Movie,http://127.0.0.1:8081/Smart.php?id=Hitsmovie
One,http://127.0.0.1:8081/Smart.php?id=One
tvN Movie,http://127.0.0.1:8081/Smart.php?id=Tvnmovie
Celestial Classic,http://127.0.0.1:8081/Smart.php?id=Celestial2
Celestial Movies HD,http://127.0.0.1:8081/Smart.php?id=Celestialindo
Axn HD,http://127.0.0.1:8081/Smart.php?id=Axn
Paramount Network,http://127.0.0.1:8081/Smart.php?id=Paramountnetwork
Astrol Kplus,http://127.0.0.1:8081/Smart.php?id=Kplus
Rock Actions,http://127.0.0.1:8081/Smart.php?id=Rockaction
Rock Entertainment,http://127.0.0.1:8081/Smart.php?id=Rockentertain

记录频道,#genre# 
Natgeo_HD,http://127.0.0.1:8081/Smart.php?id=natgeohd_twn
NatGeo_Wild HD,http://127.0.0.1:8081/Smart.php?id=natgeowild_twn
Animal_Planet,http://127.0.0.1:8081/Smart.php?id=animalplanet_twn
Discovery Asia,http://127.0.0.1:8081/Smart.php?id=discoverytwn_twn
CI,http://127.0.0.1:8081/Smart.php?id=ci_twn
Discovery HD,http://127.0.0.1:8081/Smart.php?id=discoveryhd_twn
NatGeo HD,http://127.0.0.1:8081/Smart.php?id=Natgeo
Fashion TV,http://127.0.0.1:8081/Smart.php?id=fashiontv_twn
History,http://127.0.0.1:8081/Smart.php?id=History
BBC Earth HD,http://127.0.0.1:8081/Smart.php?id=bbcearth_twn
BBC Earth Lifestyle,http://127.0.0.1:8081/Smart.php?id=bbclifestyle_twn
NatGeo Wild HD,http://127.0.0.1:8081/Smart.php?id=Natgeowild
Animal Planet (Eng),http://127.0.0.1:8081/Smart.php?id=AnimalPlanet
TLC,http://127.0.0.1:8081/Smart.php?id=Tlc
Foodnetwork Hd,http://127.0.0.1:8081/Smart.php?id=Foodnetwork
HGTV,http://127.0.0.1:8081/Smart.php?id=HGTV

新闻频道,#genre# 
Skynews,http://127.0.0.1:8081/Smart.php?id=skynews_twn
ABC News,http://127.0.0.1:8081/Smart.php?id=abcnews_glo
CBS HD,http://127.0.0.1:8081/Smart.php?id=cbshd_glo
CBSN HD,http://127.0.0.1:8081/Smart.php?id=cbsn_glo
France 24,http://127.0.0.1:8081/Smart.php?id=france24_twn
DW (Deutsch),http://127.0.0.1:8081/Smart.php?id=dw_twn
NHK World,http://127.0.0.1:8081/Smart.php?id=nhkworld_japan
Fox News,http://127.0.0.1:8081/Smart.php?id=foxnews_twn
CNN International,http://127.0.0.1:8081/Smart.php?id=Cnn
CNN backup,http://127.0.0.1:8081/Smart.php?id=cnn_twn
CNBC,http://127.0.0.1:8081/Smart.php?id=cnbc_twn
CNA,http://127.0.0.1:8081/Smart.php?id=cna
BBC World News,http://127.0.0.1:8081/Smart.php?id=bbcnews_twn
BBC World News,http://127.0.0.1:8081/Smart.php?id=Bbcnews
Bloomberg News,http://127.0.0.1:8081/Smart.php?id=bloomberg_twn
Al-Jazeera,http://127.0.0.1:8081/Smart.php?id=aljazeera_twn

儿童频道,#genre# 
Baby TV Eng,http://127.0.0.1:8081/Smart.php?id=Babytv
CBeebies,http://127.0.0.1:8081/Smart.php?id=Cbeebies
Kids TV,http://127.0.0.1:8081/Smart.php?id=KidsTV
Momo TV,http://127.0.0.1:8081/Smart.php?id=momo1_twn
Baby TV,http://127.0.0.1:8081/Smart.php?id=babytv_twn
MiaoMi,http://127.0.0.1:8081/Smart.php?id=MiaoMi
Cartoon Network,http://127.0.0.1:8081/Smart.php?id=Cn
Nickelodeon,http://127.0.0.1:8081/Smart.php?id=Nickelodeon
Nick Jr,http://127.0.0.1:8081/Smart.php?id=Nickjr

新加坡频道,#genre# 
Channel 5,http://127.0.0.1:8081/Smart.php?id=Channel5HD
Channel 8,http://127.0.0.1:8081/Smart.php?id=Channel8HD
Suria,http://127.0.0.1:8081/Smart.php?id=Suria
Channel U,http://127.0.0.1:8081/Smart.php?id=ChannelU
Vasantham,http://127.0.0.1:8081/Smart.php?id=Vasantham
CNA backup,http://127.0.0.1:8081/Smart.php?id=cna_twn
MeWatch Ch 5,http://127.0.0.1:8081/Smart.php?id=Mewatch_ch5
MeWatch Ch 8,http://127.0.0.1:8081/Smart.php?id=Mewatch_ch8
MeWatch Ch U,http://127.0.0.1:8081/Smart.php?id=Mewatch_chU
MeWatch Suria,http://127.0.0.1:8081/Smart.php?id=Mewatch_Suria
MeWatch Vasantham,http://127.0.0.1:8081/Smart.php?id=Mewatch_Vasantham
MeWatch CNA,http://127.0.0.1:8081/Smart.php?id=Mewatch_cna

马来西亚频道,#genre# 
TV1,http://127.0.0.1:8081/Smart.php?id=TV1
TV1 backup,http://127.0.0.1:8081/Smart.php?id=TV1_backup
TV2,http://127.0.0.1:8081/Smart.php?id=TV2
TV3,http://127.0.0.1:8081/Smart.php?id=TV3
TV3 SD,http://127.0.0.1:8081/Smart.php?id=TV3_mega
NTV7,http://127.0.0.1:8081/Smart.php?id=NTV7
TV8,http://127.0.0.1:8081/Smart.php?id=TV8
TV9,http://127.0.0.1:8081/Smart.php?id=TV9
Ria,http://127.0.0.1:8081/Smart.php?id=Ria-0
Ria-3,http://127.0.0.1:8081/Smart.php?id=Ria_backup
Al-Hijrah,http://127.0.0.1:8081/Smart.php?id=Alhijrah
Al-Hijrah backup,http://127.0.0.1:8081/Smart.php?id=Alhijrah_backup
Awani,http://127.0.0.1:8081/Smart.php?id=Awani
Bernama,http://127.0.0.1:8081/Smart.php?id=Bernama
Prima,http://127.0.0.1:8081/Smart.php?id=Prima-0
Prima backup,http://127.0.0.1:8081/Smart.php?id=AAprima1
Prima backup 2,http://127.0.0.1:8081/Smart.php?id=AAprima
Ceria,http://127.0.0.1:8081/Smart.php?id=Ceria
Astro MTV,http://127.0.0.1:8081/Smart.php?id=AstroMTV
Mecca Live HD,http://127.0.0.1:8081/Smart.php?id=quran_mido
Madinah HD,http://127.0.0.1:8081/Smart.php?id=sunnah_mido
Oasis,http://127.0.0.1:8081/Smart.php?id=Oasis
Siar,http://127.0.0.1:8081/Smart.php?id=Siar
Citra,http://127.0.0.1:8081/Smart.php?id=AAcitra
Citra backup,http://127.0.0.1:8081/Smart.php?id=AAcitra1
Sensasi,http://127.0.0.1:8081/Smart.php?id=Sensasi
Aura,http://127.0.0.1:8081/Smart.php?id=Aura
Rania,http://127.0.0.1:8081/Smart.php?id=Rania
KBS World,http://127.0.0.1:8081/Smart.php?id=KBS
Boo,http://127.0.0.1:8081/Smart.php?id=Boo
Awesome TV,http://127.0.0.1:8081/Smart.php?id=Dsangat
Astro Sonypix,http://127.0.0.1:8081/Smart.php?id=Asonypix
Sony HD,http://127.0.0.1:8081/Smart.php?id=SetOne
TvN,http://127.0.0.1:8081/Smart.php?id=TVN
AEC,http://127.0.0.1:8081/Smart.php?id=AEC
华丽台 HD （Wah Lai Toi）,http://127.0.0.1:8081/Smart.php?id=Wlt
欢喜台 HD （Hua Hee Tai）,http://127.0.0.1:8081/Smart.php?id=Huahee
Astro QJ,http://127.0.0.1:8081/Smart.php?id=Quanjia
TVB Jade,http://127.0.0.1:8081/Smart.php?id=Tvbjade
TVB Asia,http://127.0.0.1:8081/Smart.php?id=Tvbasia
TVB Entertainment,http://127.0.0.1:8081/Smart.php?id=Tvbentertainment
TVB Classic,http://127.0.0.1:8081/Smart.php?id=Tvbclassic
AOD,http://127.0.0.1:8081/Smart.php?id=Aodhd
TVB 星河台 Xing He,http://127.0.0.1:8081/Smart.php?id=Xinhe
爱奇艺 iQiyi,http://127.0.0.1:8081/Smart.php?id=Qiyi
Goshop,http://127.0.0.1:8081/Smart.php?id=Goshop
Celestial Movies HD,http://127.0.0.1:8081/Smart.php?id=Celestial
Astro LOL,http://127.0.0.1:8081/Smart.php?id=Astro_lol
Astro Rusi,http://127.0.0.1:8081/Smart.php?id=Rusi
WION,http://127.0.0.1:8081/Smart.php?id=Wion
RTM Asean,http://127.0.0.1:8081/Smart.php?id=Rtmasean

印尼频道,#genre# 
TVRI National,http://127.0.0.1:8081/Smart.php?id=TVRI
RCTI,http://127.0.0.1:8081/Smart.php?id=Rcti
Kompass TV,http://127.0.0.1:8081/Smart.php?id=Kompass
Berita Satu,http://127.0.0.1:8081/Smart.php?id=BeritaSatu_eko
Indosiar HD,http://127.0.0.1:8081/Smart.php?id=Indosiar
AnTV,http://127.0.0.1:8081/Smart.php?id=Antv
MNC TV,http://127.0.0.1:8081/Smart.php?id=Mnctv
Trans 7,http://127.0.0.1:8081/Smart.php?id=Trans7_eko
Transtv,http://127.0.0.1:8081/Smart.php?id=Transtv
JTV,http://127.0.0.1:8081/Smart.php?id=JTV_eko
Metro TV,http://127.0.0.1:8081/Smart.php?id=metrotv_eko
SCTV,http://127.0.0.1:8081/Smart.php?id=SCTV
Tvone,http://127.0.0.1:8081/Smart.php?id=Tvone
TVMU,http://127.0.0.1:8081/Smart.php?id=TVMU_eko
GTV,http://127.0.0.1:8081/Smart.php?id=Gtv
RTV,http://127.0.0.1:8081/Smart.php?id=Rtv
Jak TV,http://127.0.0.1:8081/Smart.php?id=JakTV
iNews TV,http://127.0.0.1:8081/Smart.php?id=Inewstv
Daai TV,http://127.0.0.1:8081/Smart.php?id=DaaiTV
Net TV,http://127.0.0.1:8081/Smart.php?id=NetTV
EWTN,http://127.0.0.1:8081/Smart.php?id=Ewtn
AlQuran AlKareem,http://127.0.0.1:8081/Smart.php?id=AlQuran
Tawaf TV,http://127.0.0.1:8081/Smart.php?id=TawafTV
Vision Prime,http://127.0.0.1:8081/Smart.php?id=VisionPrime
Muslim TV,http://127.0.0.1:8081/Smart.php?id=MuslimTV
Music TV,http://127.0.0.1:8081/Smart.php?id=MusicTV
Lifestyle&Fashion,http://127.0.0.1:8081/Smart.php?id=Lifestyle
Entertain,http://127.0.0.1:8081/Smart.php?id=Entertain

印度频道,#genre# 
Sun TV HD,http://127.0.0.1:8081/Smart.php?id=Suntv
Star Vijay,http://127.0.0.1:8081/Smart.php?id=Starvijay
Colors Tamil,http://127.0.0.1:8081/Smart.php?id=Colorstam
Sun Music,http://127.0.0.1:8081/Smart.php?id=Sunmusic
Astro Sunlife,http://127.0.0.1:8081/Smart.php?id=Sunlife
Astro Vaanavil,http://127.0.0.1:8081/Smart.php?id=Vaanavil
Zee Tamil,http://127.0.0.1:8081/Smart.php?id=Zeetamil
Zee Business,http://127.0.0.1:8081/Smart.php?id=Zeebusiness
News 18 Tamil,http://127.0.0.1:8081/Smart.php?id=news18tamil_raj
Adithya,http://127.0.0.1:8081/Smart.php?id=Adithya
Makkal TV,http://127.0.0.1:8081/Smart.php?id=Makkaltv
Zee Action,http://127.0.0.1:8081/Smart.php?id=Zeeaction
Astro KTV,http://127.0.0.1:8081/Smart.php?id=Astroktv
Zee TV HD,http://127.0.0.1:8081/Smart.php?id=Zeetvhd
Zee Cinema HD,http://127.0.0.1:8081/Smart.php?id=Zeecinemahd
Color HD,http://127.0.0.1:8081/Smart.php?id=Colorhd
Starplus HD,http://127.0.0.1:8081/Smart.php?id=Starplushd
Picture HD,http://127.0.0.1:8081/Smart.php?id=Npicture
Zee News,http://127.0.0.1:8081/Smart.php?id=Zeenews
Asianet,http://127.0.0.1:8081/Smart.php?id=asianet_raj
Asianet News,http://127.0.0.1:8081/Smart.php?id=asianetnews_raj
Discovery World Tamil,http://127.0.0.1:8081/Smart.php?id=discoveryworldtam_raj
History Tamil,http://127.0.0.1:8081/Smart.php?id=historytam_raj
NatGeo Tamil,http://127.0.0.1:8081/Smart.php?id=natgeotamil_raj
Natgeo Wild Tamil,http://127.0.0.1:8081/Smart.php?id=natgeowildtamil_raj
Discovery Kids Tamil,http://127.0.0.1:8081/Smart.php?id=discoverykidtamil_raj
Discovery Tamil,http://127.0.0.1:8081/Smart.php?id=discoverytamil_raj
Sony Yay Tamil,http://127.0.0.1:8081/Smart.php?id=sonyyaytam_raj
Sun TV India,http://127.0.0.1:8081/Smart.php?id=suntv_raj
Starmaa HD,http://127.0.0.1:8081/Smart.php?id=starmaa_raj
Starmaa Movies HD,http://127.0.0.1:8081/Smart.php?id=starmaamovies_raj
Bollyone,http://127.0.0.1:8081/Smart.php?id=Bollyone
Vijay Super,http://127.0.0.1:8081/Smart.php?id=vijaysuper_raj
Vellithirai,http://127.0.0.1:8081/Smart.php?id=Vellithirai

泰国频道,#genre# 
Channel 3 Thailand,http://127.0.0.1:8081/Smart.php?id=ch3_pat
Channel 5 Thailand,http://127.0.0.1:8081/Smart.php?id=ch5_pat
Channel 7 Thailand,http://127.0.0.1:8081/Smart.php?id=ch7_pat
MCOT HD Thailand-1,http://127.0.0.1:8081/Smart.php?id=mcot_pat
PPTV Thailand1,http://127.0.0.1:8081/Smart.php?id=pptv_pat
Thai Thai,http://127.0.0.1:8081/Smart.php?id=thaithai_pat
Amarin,http://127.0.0.1:8081/Smart.php?id=amarin_pat
Ch 8,http://127.0.0.1:8081/Smart.php?id=ch8_pat
GmmOne,http://127.0.0.1:8081/Smart.php?id=gmmone_pat
Mono,http://127.0.0.1:8081/Smart.php?id=mono_pat
Thairath,http://127.0.0.1:8081/Smart.php?id=thairath_pat
tpbs,http://127.0.0.1:8081/Smart.php?id=tpbs_pat
Workpoint,http://127.0.0.1:8081/Smart.php?id=workpoint_pat
Gmm Channel,http://127.0.0.1:8081/Smart.php?id=gmmchannel_pat
Nation,http://127.0.0.1:8081/Smart.php?id=nation_pat
Tnn24,http://127.0.0.1:8081/Smart.php?id=tnn24_pat
Nbt,http://127.0.0.1:8081/Smart.php?id=nbt_pat
New,http://127.0.0.1:8081/Smart.php?id=new_pat
TPTV,http://127.0.0.1:8081/Smart.php?id=tptv_pat

英国频道,#genre# 
BBC 1,http://127.0.0.1:8081/Smart.php?id=bbc1_antik
BBC 2,http://127.0.0.1:8081/Smart.php?id=bbc2_antik
CBBC,http://127.0.0.1:8081/Smart.php?id=cbbc_antik
More4,http://127.0.0.1:8081/Smart.php?id=more4_antik
Freesports,http://127.0.0.1:8081/Smart.php?id=freesports_antik
Pick TV,http://127.0.0.1:8081/Smart.php?id=picktv_antik
itv 1,http://127.0.0.1:8081/Smart.php?id=itv1_antik
itv 2,http://127.0.0.1:8081/Smart.php?id=itv2_antik
Euronews,http://127.0.0.1:8081/Smart.php?id=euronews_antik
